,files,agency_name,provision
0,108-584 H.txt,    For the Office of the Secretary,"    For the Office of the Secretary, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and the same amount as the budget request.    The Committee appreciates receiving the detailed information provided in the Explanatory Notes prepared by the Department and relies heavily on this information when considering budget proposals. These materials have traditionally been prepared for the sole use of the Appropriations Committee in a format consistent with the organization and operation of the programs and the structure of the Appropriations Act. At the direction of the Office of Management and Budget, the Department has changed the format and content of these materials to focus on broader goals and objectives rather than the major program structure followed in the Act and in the actual conduct of the programs. The new organization and content does not present budget information in a format useful to the deliberations of the Committee. For fiscal year  and future years, the Department is directed to present Explanatory Notes in a format consistent with the presentation used for the fiscal year  Budget. Any deviations from that format are to be approved in advance by the Committee.    When trade sanctions were imposed in , Iraq had been purchasing about  billion in U.S. agricultural commodities each year under the GSM export credit guarantee program. The Secretary of Agriculture has the legal authority to facilitate the export of U.S. agricultural commodities to Iraq by making available new guarantees, notwithstanding current or past debt. In order to begin to rebuild this important market, the Committee urges the Department to offer a GSM program for Iraq as soon as possible.    Counter-Terrorism Measures.--The Committee supports the efforts of USDA in implementing a national policy for defending the agriculture and food system against terrorist attacks.    State Office Collocation.--The Committee continues to direct that any reallocation of resources related to the collocation of state offices scheduled for  and subsequent years is subject to the Committee's reprogramming procedures. The Committee notes that no such reprogramming requests have been received to date.    Ralstonia.--The Committee notes that the Secretary of Agriculture has initiated emergency actions during FY  to ensure the eradication of the disease Ralstonia solanacearum, Race , Biovar , which is of great concern to U.S. agriculture, including ornamentals growers, the potato industry, and others. The Committee directs the Secretary of Agriculture to continue to use existing authority including that provided under CCC, to fund this initiative, and to establish a compensation program for persons suffering from losses as a result of the eradication and control efforts related to this disease. The Secretary shall submit to the Committee on Appropriations a report regarding the feasibility of establishing additional research and forward control programs in countries and/or regions that had been the point of origin for infected product.    Administrative Provision.--The Committee directs the Secretary to advise the Committees on Appropriations in writing of the status of all reports requested of the Department in this bill, at the time of submission of the FY  budget and quarterly thereafter.    The Committee is concerned that the Agricultural Research Service has not yet implemented steps in fiscal year  to expand the access to and use of the United States National Arboretum by private sector and nonprofit organizations. At a time when federal budgetary resources are scarce, it is imperative that the Agricultural Research Service aggressively pursues opportunities to supplement federal funding with funds generated by private sector and nonprofit organizational sources (such as the Friends of the National Arboretum), as other federal institutions have done. Congress clearly stated that it expects the Department to implement a more open and creative policy for use of the National Arboretum at a Congressional oversight hearing held in October . The Committee directs the Secretary to expedite implementation of a more open policy for utilization of the facilities of the National Arboretum as a means of generating supplemental funds to be available for the programs and facilities of the National Arboretum, and to report to the Committees on Appropriations and Agriculture within  days of enactment on the steps taken to implement this directive.    Of the funds appropriated for Title II of P.L. , the Committee directs the Administration to provide adequate amounts for five-year, nonemergency programs in order to reach the  metric ton statutory level. The Committee is concerned about the low level of funding for these programs because chronic hunger increases people's susceptibility to illness, reduces their productivity and income, and makes them more vulnerable to economic downturns and disasters.    The Committee is concerned about the reaction of USDA and some states to a recent discovery in southern California of Phytophthora ramorum, the pathogen that causes Sudden Oak Death. While USDA expanded its regulations in response to the discover of P. ramorum, it failed to enforce a single national standard. Several states have imposed regulations that pre-empt or are more restrictive than the Federal emergency order. As a direct result, nurseries in California have lost customers and markets even for plants that USDA certifies are free of the pathogen. The Committee notes that such actions taken by states are in violation of the Plant Protection Act. The Committee expects the Secretary, when regulating a plant pest, to ensure that the Federal standard is followed to facilitate the interstate movement of horticultural commodities and to fulfill the Department's duties under existing law. While the Plant Protection Act provides a mechanism for states to submit petitions for pre-emption to USDA that must be based on sound science and assessment of risk, no such petitions have been granted in this case.    Continuing information on BSE.--The finding of a case of BSE in a cow in Washington state last year was a matter of great concern to the nation. The Committee appreciates the work by the Department to develop and implement a response plan. Because of the importance of this issue, the Committee needs information on an ongoing basis from the Secretary regarding the BSE surveillance program and the national animal identification program. In light of their importance, the Committee requests a report from the Secretary by July , , on these issues, including a status report on implementation of each component of the BSE response plan, and quarterly reports thereafter.    Beef products from Canada.--The Committee is concerned that USDA improperly allowed the importation of millions of pounds of ground and processed beef from Canada for many months, until the practice was stopped in April by a federal judge. The judge wrote, ``the Court is concerned by the manner in which, according to counsel for USDA, USDA has been authorizing imports of virtually all edible bovine meat products, apparently through issuing individual permits, at a time when it was assuring the public that such authorization would take place through the rulemaking process.'' The Committee shares this concern and requests a report from the Secretary by September , , on specifically how a decision was made to allow these imports, apparently without the awareness of senior officials, and what actions she has taken to ensure this kind of problem will not happen in the future.''"
1,108-584 H.txt,    For the Office of the Chief Economist,"    For the Office of the Chief Economist, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request. The Committee provides the requested increase of  for a preferred procurement system and labeling system for bio-based products."
2,108-584 H.txt,    For the National Appeals Division,"    For the National Appeals Division, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request."
3,108-584 H.txt,    For the Office of Budget and Program Analysis,"    For the Office of Budget and Program Analysis, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and an increase of  above the budget request."
4,108-584 H.txt,    For the Homeland Security staff,"    For the Homeland Security staff, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request."
5,108-584 H.txt,    For the Office of the Chief Information Officer,"    For the Office of the Chief Information Officer, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committee learned that the Department transferred more than  in agency funds to the Office of the Chief Information in fiscal years  and  to help finance several Presidential eGovernment initiatives. The Department testified that, in addition, it collected fiscal years  and  funds in unspecified amounts from USDA agencies for its own eGovernment initiatives. The Committee is extremely disturbed that the Department has failed to comply with Section  of Public Law - that plainly states that no funds may be transferred to the Office of the Chief Information Officer without the prior approval of the Committees on Appropriations of both Houses of Congress. The USDA General Counsel's office advised the USDA Chief Information Officer in a memorandum dated April , , that the Department notify the Committees of its intention to transfer funds to the Office of the Chief Information Officer and await a response. Yet, in spite of the clear legislative language and the General Counsel's advice, the Department proceeded to transfer these funds without the notification and approval of Congress. The Department further testified that the cost of these eGovernment initiatives will exceed  in fiscal year , and about its plans to use the Greenbook mechanism to manage agency contributions towards funding these initiatives. The Committee again directs that no funds be transferred, contributed, pooled or otherwise made available from the agencies to the Office of the Chief Information Officer without the prior approval of the Committees on Appropriations of both Houses of Congress. The Committee further directs that the Department provide, no later than February , , a report on the fiscal years , , and estimated  funds, transferred to the Office of the Chief Information Officer through interagency agreements, the Greenbook mechanism or any other means. The report should identify the amounts transferred or otherwise made available, by Agency, how those funds were or are to be used and the impact of the transfers on agency program activities."
6,108-584 H.txt,    For the Common Computing Environment,"    For the Common Computing Environment, the Committee provides an appropriation of  an increase of  above the amount available in fiscal year  and a decrease of  below the budget request.    The Committee directs the Department to continue reporting to the Committee on Appropriations on a quarterly basis on the implementation of the Common Computing Environment.    The Committee is aware that the acquisition of geospatial data and Geographic Information System technologies is critical to the Department of Agriculture's plans to modernize its County Service Centers and install a common computing environment that optimizes information sharing, customer service, and staff efficiencies, and improves the Department's ability to track and react to natural and/or man-made disasters. Within the funds provided in this Act, the conferees encourage the Department to provide the appropriate level of support for the acquisition of geospatial data and Geographic Information System technologies."
7,108-584 H.txt,    For the Office of the Chief Financial Officer,"    For the Office of the Chief Financial Officer, the Committee provides an appropriation of  an increase of  above the amount available for fiscal year  and a decrease of  below the budget request.    The Committee has included bill language that directs the Chief Financial Officer to actively market and expand the cross-servicing activities of the National Finance Center.    The Committee is aware that the National Finance Center's (NFC) proposal for e-payroll consolidation was rated the highest in the competition held by the Office of Management and Budget and the Office of Personnel Management. The Committee believes that the NFC's demonstrated ability to provide a high level of service while operating on a fee-for-service basis provides a significant opportunity to utilize a public/private partnership to provide private investment and share risk in the modernization of systems and infrastructure creation for e-payroll. The Committee encourages the USDA to utilize the NFC to create a public/private partnership, such as the one that the State of Louisiana, private industry, and a consortium of academic institutions has developed, to help leverage scarce Federal resources to continue the modernization and development of Federal government wide e-payroll functions.    The Committee directs the Department to submit a report concurrent with the Department's annual budget submission for the following fiscal year, updating the Committee on its contracting out policies, including agency budgets for contracting out, for fiscal year . The Committee is continuing bill language requiring the submission of the report on contracting out policies and agency budgets, prior to use of any funds appropriated to the Office of the Chief Financial Officer for FAIR Act or Circular A- activities."
8,108-584 H.txt,    For the Working Capital Fund,"    For the Working Capital Fund, the Committee recommends an appropriation of  an increase of  above the amount available for fiscal year  and the same amount as the budget request.    The Committee recommends funding for the acquisition of a disaster recovery and continuity of operations technology for the National Finance Center to begin the design and implementation of a point-in-time remote backup capability, and to begin equipping and implementing the secondary backup data center to support that capability."
9,108-584 H.txt,    For the Office of the Assistant Secretary for Civil Rights,"    For the Office of the Assistant Secretary for Civil Rights, the Committee provides an appropriation of  the same as the amount provided in fiscal year  and a decrease of  below the budget request."
